GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FastestRoute,net.mooctest,GasStation,6,39,0,0,2,8,2,2,2,2
FastestRoute,net.mooctest,PathNode,0,27,0,0,0,10,0,5,0,5
FastestRoute,net.mooctest,Graph,0,50,1,3,0,12,1,6,0,5
FastestRoute,net.mooctest,AStar,9,257,6,20,1,51,5,12,0,4
FastestRoute,net.mooctest,Dijkstra,8,219,3,19,0,46,2,12,0,3
FastestRoute,net.mooctest,SearchAlgorithm,0,24,0,0,0,9,0,1,0,1
FastestRoute,net.mooctest,PathResult,0,36,0,2,0,9,0,4,0,3
FastestRoute,net.mooctest,BellmanFord,0,245,2,20,0,40,2,12,0,3
FastestRoute,net.mooctest,RouteOptimizer,0,10,0,0,0,4,0,2,0,2
FastestRoute,net.mooctest,FloydWarshall,2,274,1,25,1,40,1,15,0,3
FastestRoute,net.mooctest,IterativeDeepeningSearch,0,107,1,15,0,23,1,10,0,3
FastestRoute,net.mooctest,Edge,0,15,0,0,0,6,0,3,0,3
FastestRoute,net.mooctest,ShortestTimeFirst,10,221,5,15,1,49,4,11,0,4
FastestRoute,net.mooctest,Node,0,84,0,6,0,24,0,14,0,11
FastestRoute,net.mooctest,Vehicle,6,80,0,2,2,21,2,11,2,10
FastestRoute,net.mooctest,TrafficCondition,2,46,1,4,1,12,1,7,0,4
FastestRoute,net.mooctest,WeatherCondition,0,29,0,4,0,8,0,5,0,2
